CustomerID,RecommendedProduct,Rating
200000,Basic,1.0
200001,Basic,0.0
200002,Deluxe,1.0
200003,Deluxe,0.19002557544757034
200004,Deluxe,0.19002557544757034
200005,Deluxe,0.19002557544757034
200006,Deluxe,0.0
200007,Deluxe,0.0
200008,Deluxe,0.0
200009,Basic,0.19002557544757034
200010,Deluxe,0.19002557544757034
200011,Basic,0.0
200012,Deluxe,0.0
200013,Deluxe,0.0
200014,Deluxe,1.0
200015,Deluxe,0.0
200016,Deluxe,0.19002557544757034
200017,Deluxe,0.0
200018,Deluxe,0.0
200019,Deluxe,0.0
200020,Basic,0.0
200021,Basic,1.0
200022,Deluxe,0.0
200023,Deluxe,0.0
200024,Deluxe,1.0
200025,Deluxe,0.0
200026,Deluxe,1.0
200027,Basic,0.0
200028,Deluxe,0.0
200029,Deluxe,0.0
200030,Deluxe,0.0
200031,Basic,0.0
200032,Deluxe,0.0
200033,Basic,1.0
200034,Deluxe,0.19002557544757034
200035,Deluxe,0.0
200036,Deluxe,1.0
200037,Deluxe,0.0
200038,Deluxe,0.0
200039,Basic,0.0
200040,Deluxe,0.0
200041,Deluxe,0.0
200042,Deluxe,1.0
200043,Deluxe,0.0
200044,Basic,0.0
200045,Deluxe,1.0
200046,Basic,0.0
200047,Deluxe,0.0
200048,Basic,0.0
200049,Deluxe,0.0
200050,Deluxe,0.19002557544757034
200051,Deluxe,1.0
200052,Basic,0.0
200053,Deluxe,0.0
200054,Basic,0.0
200055,Deluxe,0.19002557544757034
200056,Deluxe,0.0
200057,Deluxe,0.0
200058,Basic,0.0
200059,Basic,0.0
200060,Basic,0.0
200061,Basic,0.0
200062,Deluxe,0.0
200063,Deluxe,0.0
200064,Deluxe,0.19002557544757034
200065,Deluxe,0.0
200066,Basic,0.19002557544757034
200067,Deluxe,0.0
200068,Deluxe,0.0
200069,Deluxe,1.0
200070,Basic,0.0
200071,Deluxe,0.0
200072,Deluxe,0.0
200073,Basic,0.0
200074,Basic,0.0
200075,Basic,0.0
200076,Basic,0.0
200077,Deluxe,0.19002557544757034
200078,Deluxe,0.0
200079,Basic,0.0
200080,Basic,0.0
200081,Deluxe,0.0
200082,Deluxe,0.0
200083,Basic,0.0
200084,Basic,0.0
200085,Deluxe,0.0
200086,Deluxe,0.0
200087,Deluxe,0.0
200088,Basic,0.0
200089,Deluxe,1.0
200090,Deluxe,0.0
200091,Basic,0.0
200092,Basic,0.0
200093,Deluxe,0.0
200094,Basic,0.19002557544757034
200095,Deluxe,0.0
200096,Basic,0.0
200097,Basic,0.0
200098,Deluxe,0.19002557544757034
200099,Basic,0.0
200100,Deluxe,1.0
200101,Deluxe,0.0
200102,Deluxe,1.0
200103,Basic,0.0
200104,Basic,0.0
200105,Deluxe,0.0
200106,Deluxe,0.0
200107,Basic,1.0
200108,Deluxe,0.0
200109,Deluxe,0.0
200110,Deluxe,0.0
200111,Basic,1.0
200112,Deluxe,0.0
200113,Deluxe,0.0
200114,Basic,0.19002557544757034
200115,Deluxe,0.0
200116,Deluxe,0.19002557544757034
200117,Deluxe,0.19002557544757034
200118,Deluxe,0.0
200119,Deluxe,0.19002557544757034
200120,Deluxe,0.0
200121,Basic,0.0
200122,Deluxe,1.0
200123,Deluxe,0.0
200124,Basic,1.0
200125,Deluxe,0.19002557544757034
200126,Deluxe,0.19002557544757034
200127,Deluxe,0.19002557544757034
200128,Deluxe,0.0
200129,Basic,0.19002557544757034
200130,Deluxe,0.19002557544757034
200131,Deluxe,0.0
200132,Basic,1.0
